category,key,values
Swimwear,Gender,"['Men', 'Men', 'Women', 'Women', 'Women', 'Women', 'Women', 'Men', 'Girls', 'Men', 'Men', 'Women', 'Men', 'Women', 'Women', 'Men', 'Men', 'Women', 'Women', 'Women', 'Women', 'Women', 'Girls', 'Women', 'Men', 'Men', 'Women', 'Men', 'Women', 'Women', 'Women', 'Men', 'Girls', 'Women', 'Men', 'Women', 'Men', 'Women', 'Women', 'Men', 'Girls', 'Women', 'Women', 'Men', 'Girls', 'Women', 'Women', 'Women', 'Women', 'Women', 'Men', 'Women', 'Men', 'Men', 'Boys', 'Women', 'Women', 'Men', 'Women', 'Men', 'Men', 'Women', 'Women', 'Women', 'Women', 'Men', 'Girls', 'Women', 'Women', 'Women', 'Girls Swimwear', 'Women', 'Women', 'Women', 'Women', 'Girls', 'Women', 'Men', 'Men', 'Women', 'Women', 'Women', 'Women', 'Women', 'Women', 'Men', 'Men', 'Women', 'Girls', 'Women', 'Women', 'Men', 'Girls', 'Women', 'Girls', 'Women', 'Girls', 'Men', 'Women', 'Swimwear Girls', 'Women', 'Girls', 'Men', 'Girls', 'Women', 'Men', 'Women', 'Men', 'Women', 'Women', 'Women', 'Women', 'Men', 'Girls', 'Women', 'Men', 'Women', 'Women', 'Women', 'Men', 'Men', 'Women', 'Girls', 'Girls', 'Men', 'Men', 'Men', 'Women', 'Women', 'Women', 'Women', 'Men']"
Swimwear,Description,"['Men Swimwear', 'n/a', 'Mens Swimming Boxers Trunks', 'Sexy Men&#39;s Swimwear', 'Men&#39;s Swimwear Swimsuits', 'n/a', 'Men Bathing Suits Swimming', 'Mens Swimwear', 'Men Surfing Swim Boxer Trunks Shorts', 'Sexy Men&#39;s Swimwear', 'Men&#39;s Swimwear Swimsuits', 'Men Surf Board Trunks Shorts', 'Sexy Mens Swimwear', 'Men Swimming Surfing Board Shorts', 'n/a', 'Sexy Mens Swimwear', 'Men Swim Shorts Gay']"
Swimwear,Model Number,"['Y182', 'One Pieces Swimsuit Set', 'sw0640', 'Swimming trunks', 'Swimsuit', ' Bikinis Set', 'Pant', '229', 'n/a', 'One Pieces Swimsuits', 'Swimwear', 'Briefs', '42247', 'Swimsuit', 'n/a', 'Swimsuit', 'Swimsuit', 'n/a', '468', 'n/a', 'Swimsuit', 'Swimsuit', 'Swimsuit', 'n/a', 'Bikinis Set', '1685', '470', 'B164', 'n/a', 'CZ884', 'Swimsuit', '42285', 'Girls Two Pieces Suits', 'Swimsuit', 'Swimwear', '203', 'Swimsuit', 'Printed Swimwear', 'n/a']"
Swimwear,Feature,"['Leopard High Cut Sexy One Piece Swimsuit', 'One-piece Swim', 'n/a', 'High Cut', 'Bikini Top Push-up', 'Mesh', 'n/a', 'Cut Out', 'Bathing Underpants for Male', 'Floral', 'n/a', 'Children Swimwear', 'Kids Bathing Suits', 'New Born Baby Swimsuit', 'Swimsuit for Children', 'Swimming Clothes Set', 'Bathing Suit', 'UV Swim Wear', 'Lace', 'n/a', 'Floral Printing', 'Men Swim Shorts', 'Sports Suit', 'Swimming Suit for Toddler Girl', 'Children Bathing Suit', 'Bottom Swimwear', 'Swimwear for Boys', 'Long Sleeve Rash Guards', 'Swimsuit', 'Bathing Suit', 'Ruffle', 'Solid', 'Sexy Mesh', 'n/a', 'Patchwork']"
Swimwear,Pattern,"['Fireworks Print', 'Solid', 'Print', 'Solid', 'Print', 'Solid', 'Print', 'Print', 'n/a', 'Print', 'Solid', 'Print', 'Dot', 'Cartoon', 'Print', 'Print', 'Print', 'Print', 'Print', 'Patchwork', 'Print Floral', 'Flora Print', 'n/a', 'Print', 'Print', 'Solid', 'Dot', 'Solid', 'Solid', 'Floral', 'Print', 'Solid', 'Floral', 'Solid', 'Solid', 'Print', 'Patchwork', 'Print', 'n/a', 'Dot', 'Print', 'Solid', 'Patchwork', 'Dot', 'Print', 'Floral', 'n/a', 'Print', 'Solid', 'Floral', 'Striped', 'Solid', 'Dot', 'Solid', 'Print', 'Print', 'Print', 'Solid', 'Cartoon', 'Children Swimming Suit', 'Print', 'Print', 'Print', 'Dot', 'Cartoon', 'Solid', 'Print', 'Solid', 'Print', 'Print', 'Print', 'Patchwork', 'Solid']"
Swimwear,Color,"['Yellow', 'n/a', 'Green', 'Black', 'n/a', 'Green', 'n/a']"
Swimwear,Style,"['Sexy', 'Bandage Bikini Top', 'Sexy', 'Sexy', 'Sexy', 'n/a', 'Sexy', 'Swimwear Women', 'Sexy', 'Sexy', 'Swimming Briefs', '2017 Kids Swimsuit', 'Kids Swimsuit Sizes', 'Sexy', 'Sexy', 'Sexy', 'n/a', 'Swimming Trunks', 'Sports']"
Swimwear,Season,"['Summer Beachwear', 'n/a', 'Summer', 'Summer', 'Summer Beachwear', 'Summer Beachwear', 'Summer']"
Shorts,Sport Type,"['Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Basketball', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Basketball', 'Running', 'Running', 'Running', 'Yoga', 'Running', 'Basketball', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Cycling', 'Running', 'Running', 'Cycling', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Basketball', 'Running', 'Running', 'Basketball', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Basketball', 'Running', 'Running', 'Basketball', 'Basketball', 'Running', 'Basketball', 'Running', 'Running', 'Basketball', 'Running', 'Cycling', 'Running', 'Running', 'Running', 'Running', 'Basketball', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Basketball', 'Basketball', 'Running', 'Running', 'Running', 'n/a', 'Running', 'Running', 'Running', 'Basketball', 'Basketball', 'Running', 'Running', 'Running', 'Basketball', 'Running', 'Running', 'Basketball', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Basketball', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Basketball', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Basketball', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Basketball', 'Running', 'Basketball', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Basketball', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'n/a', 'Basketball', 'Running', 'Basketball', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Yoga', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'n/a', 'Running', 'Basketball', 'Running', 'Basketball', 'Basketball', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running', 'Running']"
Shorts,Gender,"['Men', 'Men', 'Women', 'Women', 'Women', 'Women', 'Men', 'Men', 'Men', 'Women', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Women', 'Men', 'Women', 'Men', 'Men', 'Women', 'Women', 'Men', 'Men', 'Women', 'Women', 'Women', 'Women', 'Men', 'Women', 'Women', 'Women', 'Men', 'Women', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Women', 'Men', 'Women', 'Women', 'Women', 'Men', 'Men', 'Women', 'Women', 'Women', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Women', 'Women', 'Women', 'Men', 'Women', 'Women', 'Men', 'Women', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Women', 'n/a', 'Women', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Women', 'Women', 'Men', 'Women', 'Men', 'Men', 'Men', 'Women', 'Women', 'Men', 'Men', 'Men', 'Women', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'n/a', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Women', 'Men', 'Women', 'Men', 'Women', 'Men', 'Women', 'Women', 'Women', 'Women', 'Women', 'Women', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Women', 'Men', 'Women', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Women', 'Women', 'Women', 'Women', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Women', 'Women', 'Men', 'Men', 'Women', 'Men', 'Women', 'Men', 'Women', 'Women', 'Women', 'Women', 'Women', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Women', 'Women', 'Men', 'Men', 'Men', 'Women', 'Women', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Boys', 'Men', 'Women', 'Men', 'Men', 'Women', 'Women', 'Men', 'Women', 'Women', 'Women', 'Women', 'Men', 'Women', 'Women', 'Men', 'Women', 'Men', 'Women', 'Women', 'Women', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women']"
Shorts,Brand Name,"['Facecozy', 'PARGO', 'Vbiger', 'DIQIAN', 'Adidas', 'PEAK', 'BONJEAN', 'Adidas', 'n/a', 'DIQIAN', 'Adidas', 'Adidas', 'Adidas', 'Adidas', 'PENERAN', 'WYOTURN', 'Adidas', 'WOSAWE', 'Adidas', 'n/a', 'PUMA', 'WOSAWE', 'ESHINES', 'Adidas', 'LASPERAL', 'PEAK', 'GOSOUER', 'F plus R', 'FRECICI', 'Adidas', 'PENERAN', 'PARGO', 'Adidas', 'WANAYOU', 'ARSUXEO', 'Copiro', 'Adidas', 'Adidas', 'MM MASMIG', 'Adidas', 'Ohyoung', 'ARSUXEO', 'ARSUXEO', 'Adidas', 'PENERAN', 'CALOFE', 'PEAK', 'MM MASMIG', 'FANNAI', 'Adidas', 'Leevy', 'ESHINES', 'n/a', 'DIQIAN', 'Adidas', 'ESHINES', 'BONJEAN', 'n/a', 'FANNAI', 'B.BANG', 'DIQIAN', 'ESHINES', 'n/a', 'n/a', 'OUTAD', 'FANNAI', 'Adidas', 'Adidas', 'ROCKBROS', 'Adidas', 'ZRCE', 'Adidas', 'WOSAWE', 'FLYGAGa', 'ESHINES', 'Adidas', 'Ohyoung', 'Adidas', 'Adidas', 'ESHINES', 'ESHINES', 'F plus R', 'PENERAN', 'B.BANG', 'PENERAN', 'Adidas', 'Nike', 'EU', 'GOSOUER', 'Adidas', 'BONJEAN', 'Leevy', 'Adidas']"
Shorts,Model Number,"['n/a', 'YEL5080', 'JRDK035', 'BONJEAN', 'Aurora Trees Running Shorts Landscape Forest Nature', 'YEL1004', 'YEL2046', 'Camouflage Yoga Shorts', 'n/a', '165', 'Shorts', 'n/a', 'n/a', 'SP-T3604', 'Women Running Shorts', 'n/a', 'AKSN138', '0', 'n/a', 'n/a', 'n/a', 'n/a', 'JRDK019', 'JRDK016', 'JRDK041', 'Men&#39;s Fast Dry Sports Trainning Gym Running Shorts', '0', 'CM01', 'JRDK052', 'JRDK015', 'YEL2032', 'Running Shorts Women', 'QMF9032', 'AKSN245', 'SP-173608', 'BONJEAN', 'Compression Tight', 'n/a', 'n/a', 'n/a', 'n/a', 'QMF9002', 'JRDK047', 'JRDK044', 'Running Shorts', '1', 'BR9125', 'YEL1014', 'YEL2034', '7016', 'Activewear Yoga Shorts', 'JRDK036', 'YEL1045', '1', 'JRDK042', 'n/a', '7034', 'n/a', 'BQ0927', '884363-032', 'YEL2074', 'n/a', 'BONJEAN', 'n/a']"
Shorts,Style,"['n/a', 'Leisure', 'Leisure', 'Leisure', 'n/a', 'n/a', 'Leisure']"
Shorts,Description,"['Men&#39;s Running Shorts', 'Men Gasp Fitness Trousers Gay', 'Sexy Mens Underwear', 'n/a', 'Men Sweatpants Jogger']"
Shorts,Pattern,"['Print', 'Solid', 'Solid', 'Print', 'n/a', 'Print', 'Print', 'Print', 'n/a', 'n/a', 'n/a', 'n/a', 'Print', 'Solid', 'n/a', 'Print', 'Solid', 'Camouflage', 'Print', 'Solid', 'Print', 'Print', 'Solid', 'Camouflage', 'Letter', 'Print', 'Print', 'Solid', 'Solid', 'Patchwork', 'Print', 'Print', 'n/a', 'n/a', 'Print', 'Print', 'n/a', 'n/a', 'Solid', 'Print', 'n/a', 'Solid', 'n/a', 'Solid', 'Print', 'Print']"
Shorts,Material,"['n/a', 'n/a', 'n/a', 'Polyester', 'Cotton', 'n/a', 'n/a', 'n/a', 'Cotton', 'Cotton', 'Polyester', 'Cotton', 'Cotton', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'Faux Leather', 'Cotton', 'Polyester']"
Shorts,Feature,"['n/a', 'Tight Shorts', 'Butt Hip Enhancer', 'Fitness Shorts', 'n/a', 'n/a', 'Breathable', 'n/a', 'n/a', 'Breathable', 'n/a', 'n/a', 'n/a', 'n/a']"
Shorts,Color,"['Blue', 'Colorful', 'Black', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a']"
Shorts,Fabric Type,"['Jersey', 'Jersey', 'Jersey', 'Jersey', 'n/a', 'Jersey']"
Shorts,Item,"['n/a', 'n/a']"
Guitar,Back / Side Material,"['n/a', 'n/a', 'Mahogany', 'n/a', 'n/a', 'Mahogany', 'Basswood', 'Mahogany', 'Mahogany', 'Spalted Maple Top', 'eye poplar', 'n/a', 'Mahogany', 'Mahogany', 'Basswood', 'n/a', 'Mahogany', 'Basswood', 'Basswood', 'Mahogany', 'Mahogany', 'Mahogany', 'n/a', 'Mahogany', 'Mahogany', 'Mahogany', 'Basswood', 'Maple', 'n/a', 'Acrylic', 'Basswood', 'Basswood', 'n/a', 'Maple', 'n/a', 'ASH', 'Mahogany', 'Mahogany', 'Maple', 'Mahogany', 'Mahogany', 'n/a', 'Mahogany', 'Plastic', 'n/a', 'Maple', 'Mahogany', 'Mahogany', 'Mahogany', 'n/a', 'Maple', 'n/a', 'n/a', 'Mahogany', 'n/a', 'Maple', 'Mahogany', 'Basswood', 'Zebrawood', 'Mahogany', 'n/a', 'Basswood', 'n/a', 'Basswood']"
Guitar,Body Material,"['n/a', 'solid spruce', 'Mahogany', 'Mahogany', 'Basswood', 'Mahogany', 'Mahogany', 'Mahogany', 'Maple', 'eye poplar', 'Mahogany', 'Mahogany', 'Basswood', 'Mahogany', 'Basswood', 'Basswood', 'n/a', 'Mahogany', 'n/a', 'Mahogany', 'Maple', 'n/a', 'Top Solid', 'Solid Spruce', 'n/a', 'Mahogany', 'n/a', 'Mahogany', 'Maple', 'n/a', 'Acrylic', 'spruce', 'Basswood', 'Basswood', 'Maple', 'n/a', 'n/a', 'n/a', 'Solid spruce', 'ASH', 'Mahogany', 'Mahogany', 'n/a', 'n/a', 'Maple', 'Mahogany', 'n/a', 'Mahogany', 'n/a', 'Mahogany', 'Plastic', 'Maple', 'Mahogany', 'n/a', 'Mahogany', 'Mahogany', 'Mahogany', 'Mahogany', 'Basswood', 'n/a', 'n/a', 'Zebrawood', 'Mahogany', 'n/a', 'Basswood', 'Basswood']"
Guitar,Fingerboard Material,"['Maple', 'Rosewood', 'n/a', 'n/a', 'Rosewood', 'Rosewood', 'Rosewood', 'Rosewood', 'Ebony', 'Ebony', 'Maple', 'Rosewood', 'Ebony', 'Maple', 'Rosewood', 'Rosewood', 'Rosewood', 'Rosewood', 'Rosewood', 'Maple', 'Rosewood', 'Rosewood', 'Maple', 'Rosewood', 'n/a', 'Ebony', 'Maple', 'n/a', 'Rosewood', 'Rosewood', 'n/a', 'n/a', 'Ebony', 'Maple', 'Rosewood', 'Ebony', 'n/a', 'n/a', 'Basswood', 'Rosewood', 'Rosewood', 'Rosewood', 'n/a', 'n/a', 'Rosewood', 'Ebony', 'Rosewood', 'Rosewood', 'n/a', 'Rosewood', 'n/a', 'Rosewood', 'n/a', 'n/a', 'n/a', 'Ebony', 'Ebony', 'Plastic', 'Rosewood', 'Rosewood', 'n/a', 'Rosewood', 'Rosewood', 'Ebony', 'n/a', 'Rosewood', 'n/a', 'Maple', 'Rosewood', 'Rosewood', 'n/a', 'n/a', 'Ebony', 'Rosewood', 'Maple', 'Rosewood', 'Rosewood', 'Rosewood', 'Rosewood', 'Basswood']"
Guitar,Bow Material,"['M', 'n/a', 'n/a', 'n/a', 'M', 'M', 'M', 'n/a', 'n/a', 'African Mahogany Okoume', 'n/a', 'M', 'M', 'Mahogany', 'M', 'M', 'M', 'Mahogany', 'N', 'M', 'n/a', 'n/a', 'M', 'n/a', 'n/a', 'n/a', 'M', 'n/a', 'Plastic', 'Mahogany', 'Mahogany', 'n/a', 'n/a', 'n/a', 'n/a', 'M', 'M', 'Mahogany', 'n/a', 'n/a', 'n/a', 'n/a']"
Guitar,Tone Position,"['22', 'n/a', '18', 'n/a', 'n/a', '22', '20', 'n/a', 'n/a', 'n/a', '24', '22', 'n/a', '22', '22', 'n/a', '20', 'n/a', 'n/a', 'n/a', '20', '24', 'n/a', 'n/a', 'n/a', '20', 'n/a', '24', '24', 'n/a', '25', '22', 'n/a', 'n/a', '20', '22', 'n/a', 'n/a', 'n/a', '20', 'n/a', 'n/a', 'n/a', 'n/a', '22']"
Guitar,Model Number,"[' SR-R-D45C', '40-30', '6120', 'electric guitar', 'Relic LP electric guitar', '41-36', 'AGT18', '40-16', '41-33', 'GYPB-6019', 'AGT04', 'electric guitar', 'LP', 'LP', 'electric guitar', 'Electric Guitar DIY Kit Set', 'Electric Guitar DIY Kit Set', 'n/a', 'Stratocaster', 'CST17112602', 'ST', 'n/a', 'n/a', 'Telecaster', 'JAZZ Bass', 'Standard', 'Telecaster', 'rosewood', '5 String', 'n/a', '41 inches', 'ACM-679', 'CST17102402', '41-52', 'Jazzmaster', 'n/a', 'electric guitar', 'n/a', 'SG', 'LS067', 'Stratocaster', 'CST18060801', 'GYLP-3066', 'GA-H60', 'Standard', '6120', 'LP', 'J200', '40-29', '38&quot; Acoustic Guitar', '40-50', 'STRATOCASTER', 'n/a', 'Bass Guitar', 'ES', 'SR-ES-335E', 'SL2H', 'GYLP-3064', 'n/a', 'telecaster', 'stratocaster', 'electric guitar', 'JAZZ Bass', 'electric guitar', 'ES175', '41-48', 'LP', 'electric guitar', 'LP', 'LP standard', 'SR-ES-335B', 'GYPB-6018', 'K Style', 'electric guitar', '6120', 'ST', 'Flying V', 'LP', 'lp guitar', 'electric guitar', 'Electric Guitar', 'BILLIE JOE', 'n/a', 'electric guitar', 'Modern', '41-31', 'DG335', '41-50', 'CST17061301', 'Ernie ball', 'LP', 'CST16112503', 'lp', '41-39', 'SG', 'ES-335', 'LP', '41-49', 'guitar', 'Custom Zakk', 'electric guitar', 'ST', 'GYST-1005', '40-45', 'LP', 'J200', 'Telecaster', 'lp guitar', 'LP', 'n/a', 'Wolfgang', 'Jazz Bass', 'ST', 'lp guitar', 'LP', 'st', 'Electric Bass Guitar', '41-40', 'ST', '39-6-5', 'Stratocaster']"
Guitar,Pickup,"['fishman', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'Fishman', 'EMG Pickups', 'n/a', 'Fishman', 'n/a', 'n/a', 'n/a', 'n/a']"
Guitar,Brand Name,"['n/a', 'n/a', 'n/a', 'n/a', 'Cnbald', 'n/a', 'n/a', 'firehawk', 'n/a', 'n/a', 'TSAI', 'Smiger', 'Cnbald', 'Cnbald', 'n/a', 'Smiger', 'Human', 'Cnbald', 'firehawk', 'ammoon', 'n/a', 'Yuker', 'FLEOR', 'Cnbald', 'Cnbald', 'n/a', 'Diduo', 'n/a', 'firehawk', 'knowneer', 'firehawk', 'Cnbald', 'n/a', 'n/a', 'Gwarem', 'n/a']"
Guitar,String Winder,"['n/a', 'n/a', 'Vintage', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'Closed Knob', 'n/a']"
Shirts,Sport Type,"['Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Yoga', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Soccer', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Ice Hockey', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'n/a', 'Basketball', 'n/a', 'Basketball', 'Basketball', 'Basketball', 'Soccer', 'Yoga', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Ice Hockey', 'Ice Hockey', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Yoga', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Cycling', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'n/a', 'Soccer', 'Basketball', 'Yoga', 'Basketball', 'n/a', 'Basketball', 'Cycling', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Ice Hockey', 'Basketball', 'Basketball', 'Ice Hockey', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Yoga', 'Basketball', 'Cycling', 'Basketball', 'Ice Hockey', 'Basketball', 'Yoga', 'Basketball', 'Basketball', 'Yoga', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Yoga', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Yoga', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Cycling', 'Yoga', 'Soccer', 'Yoga', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Yoga', 'Basketball', 'n/a', 'Basketball', 'Ice Hockey', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Cycling', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Yoga', 'Basketball', 'Yoga', 'Yoga', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Yoga', 'Basketball', 'Yoga', 'Soccer', 'Basketball', 'Ice Hockey', 'Basketball', 'Basketball', 'Basketball', 'n/a', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Cycling', 'Ice Hockey', 'Ice Hockey', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Yoga', 'Basketball', 'Basketball', 'Ice Hockey', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Yoga', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Cycling', 'Basketball', 'Basketball', 'Basketball', 'Ice Hockey', 'Basketball', 'Soccer', 'Yoga', 'Basketball', 'Basketball', 'Yoga', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Basketball', 'Ice Hockey', 'Basketball', 'Basketball', 'Basketball', 'Basketball']"
Shirts,Gender,"['n/a', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Boys', 'Men', 'Boys', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'n/a', 'Men', 'Men', 'Men', 'Men', 'Men', 'n/a', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'n/a', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Boys', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'n/a', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Women', 'Men', 'Men', 'Women', 'Men', 'Women', 'Boys', 'Men', 'Men', 'Men', 'Men', 'Women', 'Boys', 'Men', 'Men', 'Men', 'Men', 'n/a', 'Women', 'Men', 'Men', 'Men', 'n/a', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'n/a', 'n/a', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Boys', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men', 'Women', 'Men', 'Men', 'Women', 'Men', 'Men', 'Men', 'Men', 'Men', 'Men']"
Shirts,Material,"['Polyester', 'n/a', 'n/a', 'n/a', 'Cotton', 'n/a', 'n/a', 'n/a', 'Cotton', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'n/a', 'Cotton', 'n/a', 'Cotton', 'Cotton', 'Cotton']"
